# movement patterns: 1 = diagonal left, 2 = diagonal right, 3 = straight down
# 4 = left-to-right, 5 = right-to-left, 6 = diagonal up-left, 7 = diagonal up-right
# 8 = left-to-right V, 9 = right-to-left V
#Horizontal screen edge: -18=left 18=right
#Vertical screen edge: 1=top 40=bot

# BMachineGun = GOB0
# YMachineGun = GOB1
# RMachineGun = GOB2
# BNet = GOB3
# YNet = GOB4
# RNet = GOB5
# BDPulse = 6
# YDPulse =7
# RDPulse =8
# BCascade =9
# YCascade =10
# RCascade =11
# BTrack =12
# YTrack =13
# RTrack =14
# BTrackNet =15
# YTrackNet =16
# RTrackNet =17
# BTri =18
# YTri =19
# RTri =20
# BBoss =21
# YBoss =22
# RBoss =23
# 3Boss =24
# 4Boss =25
# 5Boss =26
# Asteroid =27
# 28-39 are empty

#ship,time,x,y,movement,stop

#wave1, 3.5-10s
GOB1,3.5,18.0,10,5,0
GOB2,3.5,-18,6,4,0
GOB1,4,18.0,10,5,0
GOB2,4,-18,6,4,0
GOB1,4.5,18.0,10,5,0
GOB2,4.5,-18,6,4,0
GOB1,5,18.0,10,5,0
GOB2,5,-18,6,4,0
GOB1,5.5,18.0,10,5,0
GOB2,5.5,-18,6,4,0
GOB1,6,18.0,10,5,0
GOB2,6,-18,6,4,0
GOB1,6.5,18.0,10,5,0
GOB2,6.5,-18,6,4,0
GOB1,7,18.0,10,5,0
GOB2,7,-18,6,4,0
GOB1,7.5,18.0,10,5,0
GOB2,7.5,-18,6,4,0
GOB1,8,18.0,10,5,0
GOB2,8,-18,6,4,0

#4s wait
#wave2 14-18s
#14s
GOB0,14,18, 5,1,0
GOB1,14,-18,5,2,0
GOB0,14.1,18,4,1,0
GOB1,14.1,-18,4,2,0
GOB0,14.2,18,8,1,0
GOB1,14.2,-18,8,2,0
GOB1,14.3,-18,5,2,0
GOB0,14.3,18,5,1,0
GOB1,14.4,-18,8,2,0
GOB0,14.4,18,8,1,0

#2s wait
#wave3 20-30s 
#add turrets
GOB18,20,0,1,3,0
GOB19,20,-4,1,3,0
GOB20,20,4,1,3,0
GOB18,20.5,0,1,3,0
GOB19,20.5,-4,1,3,0
GOB20,20.5,4,1,3,0
GOB18,21,0,1,3,0
GOB19,21,-4,1,3,0
GOB20,21,4,1,3,0
GOB18,21.5,0,1,3,0
GOB19,21.5,-4,1,3,0
GOB20,21.5,4,1,3,0
GOB18,22,0,1,3,0
GOB19,22,-4,1,3,0
GOB20,22,4,1,3,0
GOB18,22.5,0,1,3,0
GOB19,22.5,-4,1,3,0
GOB20,22.5,4,1,3,0
GOB18,22.5,0,1,3,0
GOB19,23,-4,1,3,0
GOB20,23,4,1,3,0

#wave4
#30-36s
GOB0,30,18,3,1,0
GOB2,30,-18,3,2,0
GOB18,30.5,18,3,1,0
GOB20,30.5,-18,3,2,0
GOB0,31,18,3,1,0
GOB2,31,-18,3,2,0
GOB18,31.5,18,3,1,0
GOB20,31.5,-18,3,2,0
GOB0,32,18,3,1,0
GOB2,32,-18,3,2,0
GOB18,32.5,18,3,1,0
GOB20,32.5,-18,3,2,0
GOB0,33,18,3,1,0
GOB2,33,-18,3,2,0
GOB18,33.5,18,3,1,0
GOB20,33.5,-18,3,2,0
GOB0,34,18,3,1,0
GOB2,34,-18,3,2,0
GOB18,34.5,18,3,1,0
GOB20,34.5,-18,3,2,0
GOB0,35,18,3,1,0
GOB2,35,-18,3,2,0
GOB18,35.5,18,3,1,0
GOB20,35.5,-18,3,2,0
GOB0,36,18,3,1,0
GOB2,36,-18,3,2,0


#wave5
#40-60s
GOB12,40,-18,40,7,0
GOB13,40,18,40,6,0
GOB12,41,-18,40,7,0
GOB13,41,18,40,6,0
GOB12,42,-18,40,7,0
GOB13,42,18,40,6,0
GOB12,43,-18,40,7,0
GOB13,43,18,40,6,0
GOB12,44,-18,40,7,0
GOB13,44,18,40,6,0
GOB12,45,-18,40,7,0
GOB13,45,18,40,6,0
GOB12,46,-18,40,7,0
GOB13,46,18,40,6,0
GOB12,47,-18,40,7,0
GOB13,47,18,40,6,0
GOB12,48,-18,40,7,0
GOB13,48,18,40,6,0
GOB12,49,-18,40,7,0
GOB13,49,18,40,6,0
GOB12,50,-18,40,7,0
GOB13,50,18,40,6,0
GOB2,50,-18,4,4,0
GOB2,50,18,4,5,0
GOB12,51,-18,40,7,0
GOB13,51,18,40,6,0
GOB2,51,-18,4,4,0
GOB2,51,18,4,5,0
GOB12,52,-18,40,7,0
GOB13,52,18,40,6,0
GOB2,52,-18,4,4,0
GOB2,52,18,4,5,0
GOB12,53,-18,40,7,0
GOB13,53,18,40,6,0
GOB2,53,-18,4,4,0
GOB2,53,18,4,5,0
GOB12,54,-18,40,7,0
GOB13,54,18,40,6,0
GOB2,54,-18,4,4,0
GOB2,54,18,4,5,0
GOB12,55,-18,40,7,0
GOB13,55,18,40,6,0
GOB2,55,-18,4,4,0
GOB2,55,18,4,5,0
GOB12,56,-18,40,7,0
GOB13,56,18,40,6,0
GOB2,56,-18,4,4,0
GOB2,56,18,4,5,0
GOB12,57,-18,40,7,0
GOB13,57,18,40,6,0
GOB2,57,-18,4,4,0
GOB2,57,18,4,5,0

#wave6
#5s wait
GOB12,60,-18,3,4,0
GOB14,60,18,6,5,0
GOB12,60.5,-18,3,4,0
GOB14,60.5,18,6,5,0
GOB12,61,-18,3,4,0
GOB14,61,18,6,5,0
GOB12,61.5,-18,3,4,0
GOB14,61.5,18,6,5,0
GOB12,62,-18,3,4,0
GOB14,62,18,6,5,0
GOB12,62.5,-18,3,4,0
GOB14,62.5,18,6,5,0
GOB12,63,-18,3,4,0
GOB14,63,18,6,5,0
GOB12,63.5,-18,3,4,0
GOB14,63.5,18,6,5,0
GOB14,64,-18,3,4,0
GOB13,64,18,6,5,0
GOB14,64.5,-18,3,4,0
GOB13,64.5,18,6,5,0
GOB14,65,-18,3,4,0
GOB13,65,18,6,5,0
