# movement patterns: 1 = diagonal left, 2 = diagonal right, 3 = straight down
# 4 = left-to-right, 5 = right-to-left, 6 = diagonal up-left, 7 = diagonal up-right
# 8 = left-to-right V, 9 = right-to-left V
#Horizontal screen edge: -18=left 18=right
#Vertical screen edge: 1=top 40=bot

# BMachineGun = GOB0
# YMachineGun = GOB1
# RMachineGun = GOB2
# BNet = GOB3
# YNet = GOB4
# RNet = GOB5
# BDPulse = 6
# YDPulse =7
# RDPulse =8
# BCascade =9
# YCascade =10
# RCascade =11
# BTrack =12
# YTrack =13
# RTrack =14
# BTrackNet =15
# YTrackNet =16
# RTrackNet =17
# BTri =18
# YTri =19
# RTri =20
# BBoss =21
# YBoss =22
# RBoss =23
# 3Boss =24
# 4Boss =25
# 5Boss =26
# Asteroid =27
# 28-39 are empty

#ship,time,x,y,movement,stop

#wave1
#start at 3s
GOB0,3,-18,4,4,0
GOB1,3,-18,7,4,0
GOB2,3,-18,10,4,0
GOB1,3.5,-18,4,4,0
GOB2,3.5,-18,7,4,0
GOB0,3.5,-18,10,4,0
GOB2,4,-18,4,4,0
GOB0,4,-18,7,4,0
GOB1,4,-18,10,4,0
GOB0,4.5,-18,4,4,0
GOB1,4.5,-18,7,4,0
GOB2,4.5,-18,10,4,0
GOB1,5,-18,4,4,0
GOB2,5,-18,7,4,0
GOB0,5,-18,10,4,0
GOB2,5.5,-18,4,4,0
GOB0,5.5,-18,7,4,0
GOB1,5.5,-18,10,4,0
GOB0,6,-18,4,4,0
GOB1,6,-18,7,4,0
GOB2,6,-18,10,4,0
GOB1,6.5,-18,4,4,0
GOB2,6.5,-18,7,4,0
GOB0,6.5,-18,10,4,0
GOB2,7,-18,4,4,0
GOB0,7,-18,7,4,0
GOB1,7,-18,10,4,0
GOB0,7.5,-18,4,4,0
GOB1,7.5,-18,7,4,0
GOB2,7.5,-18,10,4,0
GOB1,8,-18,4,4,0
GOB2,8,-18,7,4,0
GOB0,8,-18,10,4,0
GOB2,8.5,-18,4,4,0
GOB0,8.5,-18,7,4,0
GOB1,8.5,-18,10,4,0

#wave2
#3s wait
#12s mark
GOB2,12,18,13,6,0
GOB1,12,18,16,6,0
GOB0,12,18,19,6,0
GOB2,12.5,18,13,6,0
GOB1,12.5,18,16,6,0
GOB0,12.5,18,19,6,0
GOB2,13,18,13,6,0
GOB1,13,18,16,6,0
GOB0,13,18,19,6,0
GOB2,13.5,18,13,6,0
GOB1,13.5,18,16,6,0
GOB0,13.5,18,19,6,0
GOB2,14,18,13,6,0
GOB1,14,18,16,6,0
GOB0,14,18,19,6,0
GOB2,15,-18,13,7,0
GOB1,15,-18,16,7,0
GOB0,15,-18,19,7,0
GOB2,15.5,-18,13,7,0
GOB1,15.5,-18,16,7,0
GOB0,15.5,-18,19,7,0
GOB2,16,-18,13,7,0
GOB1,16,-18,16,7,0
GOB0,16,-18,19,7,0
GOB2,16.5,-18,13,7,0
GOB1,16.5,-18,16,7,0
GOB0,16.5,-18,19,7,0
